##NGS2025_08964
##capture: Rapid_V4_TubeF
##alignment method: dragen-align
##depth >= 30
#caller	SNP	indel	total	TP	FP	FN	Accuracy	Sensitivity
dragen-calling	648	77	725	648			1	1
freebayes	657	72	729	647	10	4	0.984779299847793	0.993855606758833
haplotypecaller4	651	90	741	647	4	1	0.993855606758833	0.998456790123457
samtools	645	43	688	644	1	5	0.998449612403101	0.992295839753467
unifiedgenotyper	661	88	749	647	14	1	0.978819969742814	0.998456790123457
at least 1 caller	671	119	790	648	23		0.965722801788376	1
all 5 callers	644	24	668	644		7	1	0.989247311827957
nist giab	651	73	724					
